person_id,date,welfare_risk_probability,risk_band,recommended_action,priority,feasibility_status,constraint_flags,workflow_state
P-0002,2026-02-04,0.1645525137230411,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-05,0.1664112688714926,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-06,0.1732310600301321,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-07,0.1785041872411332,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-08,0.182730134519978,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-09,0.1951291422922333,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-10,0.1945227222732474,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-11,0.2082844442555845,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-12,0.2295648245534411,LOW,CONTINUE_EXISTING_SUPPORT,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-13,0.2573154938038428,MODERATE,SUPERVISOR_WELFARE_REVIEW,MEDIUM,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-14,0.2961855405801846,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-15,0.3191910667040875,MODERATE,WELLNESS_CHECK_IN,MEDIUM,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-16,0.2494992629240851,LOW,ROUTINE_MONITORING,LOW,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-17,0.346864253049632,MODERATE,WELLNESS_CHECK_IN,MEDIUM,FEASIBLE,leave_conflict,NEW
P-0002,2026-02-18,0.4157873048803747,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE_WITH_ADJUSTMENT,active_duty_conflict | training_conflict,NEW
P-0002,2026-02-19,0.3972341707874885,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE_WITH_ADJUSTMENT,active_duty_conflict | training_conflict,NEW
P-0002,2026-02-20,0.4056156426667398,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE,active_duty_conflict,NEW
P-0002,2026-02-21,0.3699629074660882,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE,active_duty_conflict,NEW
P-0002,2026-02-22,0.3795303379513968,MODERATE,SUPERVISOR_WELFARE_REVIEW,MEDIUM,CONSTRAINED,active_duty_conflict | unit_operational_pressure,NEW
P-0002,2026-02-23,0.3631908614924918,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE_WITH_ADJUSTMENT,active_duty_conflict | unit_operational_pressure,NEW
P-0002,2026-02-24,0.3512155773007961,MODERATE,CONTINUE_EXISTING_SUPPORT,MEDIUM,FEASIBLE_WITH_ADJUSTMENT,active_duty_conflict | unit_operational_pressure,NEW
P-0002,2026-02-25,0.8820527113762763,HIGH,PRIORITY_WELFARE_REVIEW,HIGH,CONSTRAINED,active_duty_conflict | training_conflict | unit_operational_pressure,NEW
