threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,predicted_positive_count,predicted_positive_rate,true_positive,true_negative,false_positive,false_negative
0.1,0.3554929577464789,1.0,0.5245220282626766,0.0,1.0,0.0,5325,1.0,1893,0,3432,0
0.15,0.3554929577464789,1.0,0.5245220282626766,0.0,1.0,0.0,5325,1.0,1893,0,3432,0
0.2,0.47215624175244125,0.9450607501320655,0.6297078493488207,0.4172494172494173,0.5827505827505828,0.0549392498679345,3789,0.7115492957746479,1789,1432,2000,104
0.25,0.5057650358367093,0.8573692551505546,0.6362210897687182,0.5378787878787878,0.4621212121212121,0.14263074484944532,3209,0.6026291079812206,1623,1846,1586,270
0.3,0.5128771155261221,0.7363972530375066,0.6046410756885707,0.6142191142191142,0.38578088578088576,0.2636027469624934,2718,0.5104225352112676,1394,2108,1324,499
0.35,0.5315629081410536,0.6450079239302694,0.5828162291169452,0.6864801864801865,0.3135198135198135,0.3549920760697306,2297,0.4313615023474178,1221,2356,1076,672
0.4,0.5480314960629922,0.5515055467511886,0.5497630331753555,0.7491258741258742,0.2508741258741259,0.44849445324881143,1905,0.35774647887323946,1044,2571,861,849
0.45,0.5753254804711717,0.4902271526677232,0.5293782087849401,0.8004079254079254,0.1995920745920746,0.5097728473322768,1613,0.3029107981220657,928,2747,685,965
0.5,0.5892018779342723,0.3977812995245642,0.4749290444654683,0.847027972027972,0.15297202797202797,0.6022187004754358,1278,0.24,753,2907,525,1140
0.55,0.6040816326530613,0.3127311146328579,0.4121127741037244,0.8869463869463869,0.11305361305361306,0.6872688853671421,980,0.18403755868544602,592,3044,388,1301
0.6,0.6046511627906976,0.2334918119387216,0.336890243902439,0.9157925407925408,0.0842074592074592,0.7665081880612784,731,0.13727699530516432,442,3143,289,1451
