deployment_event_id,person_id,deployment_type,start_date,end_date,intensity_level,location_type
DEP-0003-01,P-0003,URBAN,2026-01-15,2026-02-23,3,URBAN_AREA
DEP-0004-01,P-0004,BORDER,2026-01-10,2026-02-27,3,BORDER_ZONE
DEP-0004-02,P-0004,BORDER,2026-03-29,2026-05-18,4,BORDER_ZONE
DEP-0006-01,P-0006,TRAINING,2026-01-06,2026-02-28,4,TRAINING_AREA
DEP-0007-01,P-0007,FIELD,2026-01-06,2026-05-03,2,REMOTE_FIELD
DEP-0009-01,P-0009,TRAINING,2026-01-04,2026-02-24,2,TRAINING_AREA
DEP-0010-01,P-0010,HIGH_INTENSITY,2026-01-07,2026-03-27,4,HIGH_INTENSITY_SECTOR
DEP-0011-01,P-0011,HIGH_INTENSITY,2026-01-20,2026-05-01,3,HIGH_INTENSITY_SECTOR
DEP-0012-01,P-0012,LOGISTICS,2026-01-18,2026-04-20,4,LOGISTICS_HUB
DEP-0014-01,P-0014,HIGH_INTENSITY,2026-01-16,2026-03-23,4,HIGH_INTENSITY_SECTOR
DEP-0015-01,P-0015,FIELD,2026-01-05,2026-04-02,2,REMOTE_FIELD
DEP-0017-01,P-0017,HIGH_INTENSITY,2026-01-19,2026-02-12,4,HIGH_INTENSITY_SECTOR
DEP-0024-01,P-0024,LOGISTICS,2026-01-08,2026-03-27,2,LOGISTICS_HUB
DEP-0025-01,P-0025,LOGISTICS,2026-01-20,2026-02-16,2,LOGISTICS_HUB
DEP-0026-01,P-0026,FIELD,2026-01-09,2026-02-06,4,REMOTE_FIELD
DEP-0031-01,P-0031,FIELD,2026-01-14,2026-05-26,3,REMOTE_FIELD
DEP-0033-01,P-0033,URBAN,2026-01-05,2026-04-05,2,URBAN_AREA
DEP-0036-01,P-0036,TRAINING,2026-01-09,2026-03-21,4,TRAINING_AREA
DEP-0039-01,P-0039,FIELD,2026-01-17,2026-03-27,2,REMOTE_FIELD
DEP-0041-01,P-0041,URBAN,2026-01-04,2026-03-31,4,URBAN_AREA
DEP-0043-01,P-0043,URBAN,2026-01-11,2026-03-31,2,URBAN_AREA
DEP-0044-01,P-0044,HIGH_INTENSITY,2026-01-07,2026-04-15,3,HIGH_INTENSITY_SECTOR
DEP-0046-01,P-0046,FIELD,2026-01-19,2026-02-23,3,REMOTE_FIELD
DEP-0049-01,P-0049,HIGH_INTENSITY,2026-01-18,2026-02-22,4,HIGH_INTENSITY_SECTOR
DEP-0051-01,P-0051,FIELD,2026-01-07,2026-04-24,2,REMOTE_FIELD
DEP-0052-01,P-0052,FIELD,2026-01-17,2026-03-08,2,REMOTE_FIELD
DEP-0054-01,P-0054,URBAN,2026-01-10,2026-02-19,2,URBAN_AREA
DEP-0056-01,P-0056,URBAN,2026-01-04,2026-04-14,3,URBAN_AREA
DEP-0060-01,P-0060,URBAN,2026-01-08,2026-03-14,2,URBAN_AREA
DEP-0061-01,P-0061,FIELD,2026-01-20,2026-02-16,4,REMOTE_FIELD
