duty_event_id,person_id,timestamp,date,duty_type,duration_hours,night_shift,intensity_level,deployment_id
DUT-0001-001,P-0001,2026-01-01T10:00:00,2026-01-01,TRAINING_SUPPORT,8.95,False,4,
DUT-0001-002,P-0001,2026-01-02T05:00:00,2026-01-02,DAY,10.5,False,4,
DUT-0001-003,P-0001,2026-01-03T09:00:00,2026-01-03,TRAINING_SUPPORT,7.29,False,5,
DUT-0001-004,P-0001,2026-01-04T11:00:00,2026-01-04,DAY,11.83,False,5,
DUT-0001-005,P-0001,2026-01-05T05:00:00,2026-01-05,DAY,9.94,False,4,
DUT-0001-006,P-0001,2026-01-06T21:00:00,2026-01-06,PATROL,10.3,True,4,
DUT-0001-007,P-0001,2026-01-07T21:00:00,2026-01-07,PATROL,9.33,True,4,
DUT-0001-008,P-0001,2026-01-08T06:00:00,2026-01-08,EMERGENCY,12.97,False,5,
DUT-0001-009,P-0001,2026-01-09T09:00:00,2026-01-09,DAY,10.31,False,4,
DUT-0001-010,P-0001,2026-01-10T21:00:00,2026-01-10,NIGHT,11.38,True,4,
DUT-0001-011,P-0001,2026-01-11T11:00:00,2026-01-11,DAY,10.69,False,5,
DUT-0001-012,P-0001,2026-01-12T11:00:00,2026-01-12,TRAINING_SUPPORT,10.32,False,5,
DUT-0001-013,P-0001,2026-01-13T11:00:00,2026-01-13,ADMIN,8.29,False,4,
DUT-0001-014,P-0001,2026-01-14T09:00:00,2026-01-14,PATROL,9.84,False,4,
DUT-0001-015,P-0001,2026-01-15T12:00:00,2026-01-15,DAY,10.53,False,4,
DUT-0001-016,P-0001,2026-01-16T07:00:00,2026-01-16,DAY,10.31,False,4,
DUT-0001-017,P-0001,2026-01-17T10:00:00,2026-01-17,DAY,8.3,False,5,
DUT-0001-018,P-0001,2026-01-18T21:00:00,2026-01-18,NIGHT,11.58,True,4,
DUT-0001-019,P-0001,2026-01-19T11:00:00,2026-01-19,PATROL,7.61,False,4,
DUT-0001-020,P-0001,2026-01-20T21:00:00,2026-01-20,TRAINING_SUPPORT,10.29,True,3,
DUT-0001-021,P-0001,2026-01-21T05:00:00,2026-01-21,DAY,11.01,False,4,
DUT-0001-022,P-0001,2026-01-22T21:00:00,2026-01-22,NIGHT,9.46,True,4,
DUT-0001-023,P-0001,2026-01-23T21:00:00,2026-01-23,NIGHT,10.08,True,5,
DUT-0001-036,P-0001,2026-02-05T07:00:00,2026-02-05,DAY,8.85,False,4,
DUT-0001-037,P-0001,2026-02-06T11:00:00,2026-02-06,PATROL,10.78,False,5,
DUT-0001-038,P-0001,2026-02-07T07:00:00,2026-02-07,PATROL,11.22,False,4,
DUT-0001-039,P-0001,2026-02-08T12:00:00,2026-02-08,DAY,12.06,False,3,
DUT-0001-040,P-0001,2026-02-09T07:00:00,2026-02-09,ADMIN,7.22,False,4,
DUT-0001-041,P-0001,2026-02-10T08:00:00,2026-02-10,ADMIN,8.45,False,4,
DUT-0001-042,P-0001,2026-02-11T11:00:00,2026-02-11,DAY,10.61,False,5,
DUT-0001-043,P-0001,2026-02-12T21:00:00,2026-02-12,EMERGENCY,9.29,True,5,
DUT-0001-044,P-0001,2026-02-13T13:00:00,2026-02-13,PATROL,6.98,False,4,
DUT-0001-045,P-0001,2026-02-14T05:00:00,2026-02-14,TRAINING_SUPPORT,10.56,False,4,
DUT-0001-046,P-0001,2026-02-15T13:00:00,2026-02-15,TRAINING_SUPPORT,9.07,False,5,
DUT-0001-047,P-0001,2026-02-16T11:00:00,2026-02-16,TRAINING_SUPPORT,9.81,False,4,
DUT-0001-048,P-0001,2026-02-17T21:00:00,2026-02-17,NIGHT,7.3,True,5,
DUT-0001-049,P-0001,2026-02-18T05:00:00,2026-02-18,PATROL,11.31,False,4,
DUT-0001-050,P-0001,2026-02-19T05:00:00,2026-02-19,DAY,9.78,False,4,
DUT-0001-051,P-0001,2026-02-20T06:00:00,2026-02-20,DAY,10.39,False,4,
DUT-0001-052,P-0001,2026-02-21T13:00:00,2026-02-21,TRAINING_SUPPORT,12.21,False,5,
DUT-0001-053,P-0001,2026-02-22T21:00:00,2026-02-22,PATROL,11.04,True,5,
DUT-0001-054,P-0001,2026-02-23T10:00:00,2026-02-23,ADMIN,10.72,False,4,
DUT-0001-055,P-0001,2026-02-24T11:00:00,2026-02-24,DAY,7.14,False,5,
DUT-0001-056,P-0001,2026-02-25T07:00:00,2026-02-25,ADMIN,11.01,False,3,
DUT-0001-057,P-0001,2026-02-26T11:00:00,2026-02-26,PATROL,11.15,False,4,
DUT-0001-058,P-0001,2026-02-27T11:00:00,2026-02-27,PATROL,11.91,False,4,
DUT-0001-059,P-0001,2026-02-28T09:00:00,2026-02-28,ADMIN,10.81,False,5,
DUT-0001-060,P-0001,2026-03-01T05:00:00,2026-03-01,PATROL,11.88,False,4,
DUT-0001-061,P-0001,2026-03-02T21:00:00,2026-03-02,NIGHT,11.65,True,4,
DUT-0001-062,P-0001,2026-03-03T06:00:00,2026-03-03,ADMIN,11.11,False,5,
DUT-0001-063,P-0001,2026-03-04T09:00:00,2026-03-04,PATROL,7.34,False,4,
DUT-0001-064,P-0001,2026-03-05T21:00:00,2026-03-05,NIGHT,12.95,True,4,
DUT-0001-065,P-0001,2026-03-06T05:00:00,2026-03-06,ADMIN,11.05,False,3,
DUT-0001-069,P-0001,2026-03-10T21:00:00,2026-03-10,NIGHT,8.69,True,5,
DUT-0001-070,P-0001,2026-03-11T05:00:00,2026-03-11,TRAINING_SUPPORT,13.58,False,5,
DUT-0001-071,P-0001,2026-03-12T07:00:00,2026-03-12,DAY,10.75,False,4,
DUT-0001-072,P-0001,2026-03-13T21:00:00,2026-03-13,NIGHT,10.74,True,4,
DUT-0001-073,P-0001,2026-03-14T07:00:00,2026-03-14,DAY,11.0,False,5,
DUT-0001-074,P-0001,2026-03-15T21:00:00,2026-03-15,NIGHT,9.19,True,5,
DUT-0001-075,P-0001,2026-03-16T13:00:00,2026-03-16,ADMIN,8.73,False,4,
