incident_event_id,person_id,date,incident_type,intensity_level,recovery_requirement
INC-0001-008,P-0001,2026-01-08,ROUTINE_OPERATION,4,4.76
INC-0001-009,P-0001,2026-01-09,EMERGENCY_RESPONSE,5,6.14
INC-0001-015,P-0001,2026-01-15,ROUTINE_OPERATION,5,5.38
INC-0001-044,P-0001,2026-02-13,EXTENDED_OPERATION,3,4.53
INC-0001-048,P-0001,2026-02-17,HIGH_INTENSITY_OPERATION,5,5.67
INC-0001-064,P-0001,2026-03-05,EXTENDED_OPERATION,4,6.04
INC-0001-072,P-0001,2026-03-13,EXTENDED_OPERATION,3,4.08
INC-0001-076,P-0001,2026-03-17,HIGH_INTENSITY_OPERATION,1,2.97
INC-0001-091,P-0001,2026-04-01,ROUTINE_OPERATION,4,5.18
INC-0001-105,P-0001,2026-04-15,HIGH_INTENSITY_OPERATION,3,4.6
INC-0001-143,P-0001,2026-05-23,EMERGENCY_RESPONSE,1,2.88
INC-0002-011,P-0002,2026-01-11,ROUTINE_OPERATION,5,5.04
INC-0002-057,P-0002,2026-02-26,ROUTINE_OPERATION,5,6.67
INC-0002-108,P-0002,2026-04-18,ROUTINE_OPERATION,2,3.23
INC-0002-115,P-0002,2026-04-25,ROUTINE_OPERATION,2,3.57
INC-0003-028,P-0003,2026-01-28,EMERGENCY_RESPONSE,5,5.27
INC-0003-092,P-0003,2026-04-02,HIGH_INTENSITY_OPERATION,2,3.9
INC-0003-095,P-0003,2026-04-05,HIGH_INTENSITY_OPERATION,2,4.21
INC-0003-098,P-0003,2026-04-08,EMERGENCY_RESPONSE,5,6.29
INC-0003-133,P-0003,2026-05-13,HIGH_INTENSITY_OPERATION,4,4.23
INC-0003-136,P-0003,2026-05-16,HIGH_INTENSITY_OPERATION,4,4.99
INC-0003-143,P-0003,2026-05-23,ROUTINE_OPERATION,2,3.72
INC-0003-157,P-0003,2026-06-06,HIGH_INTENSITY_OPERATION,4,5.95
INC-0003-159,P-0003,2026-06-08,HIGH_INTENSITY_OPERATION,5,5.69
INC-0003-170,P-0003,2026-06-19,HIGH_INTENSITY_OPERATION,3,3.93
INC-0004-003,P-0004,2026-01-03,HIGH_INTENSITY_OPERATION,4,6.03
INC-0004-057,P-0004,2026-02-26,EMERGENCY_RESPONSE,5,6.37
INC-0004-078,P-0004,2026-03-19,EMERGENCY_RESPONSE,3,4.68
INC-0004-143,P-0004,2026-05-23,HIGH_INTENSITY_OPERATION,3,4.11
INC-0004-165,P-0004,2026-06-14,EMERGENCY_RESPONSE,4,5.07
INC-0005-030,P-0005,2026-01-30,EMERGENCY_RESPONSE,4,6.42
INC-0005-122,P-0005,2026-05-02,HIGH_INTENSITY_OPERATION,2,3.23
INC-0005-171,P-0005,2026-06-20,ROUTINE_OPERATION,1,1.78
INC-0006-025,P-0006,2026-01-25,ROUTINE_OPERATION,2,3.33
INC-0006-116,P-0006,2026-04-26,ROUTINE_OPERATION,3,4.46
INC-0006-142,P-0006,2026-05-22,ROUTINE_OPERATION,3,4.45
INC-0007-025,P-0007,2026-01-25,HIGH_INTENSITY_OPERATION,4,4.76
INC-0007-056,P-0007,2026-02-25,ROUTINE_OPERATION,3,4.96
INC-0007-077,P-0007,2026-03-18,HIGH_INTENSITY_OPERATION,5,5.98
INC-0007-078,P-0007,2026-03-19,ROUTINE_OPERATION,3,4.33
INC-0007-088,P-0007,2026-03-29,ROUTINE_OPERATION,5,5.73
INC-0007-090,P-0007,2026-03-31,EMERGENCY_RESPONSE,5,5.48
INC-0007-095,P-0007,2026-04-05,HIGH_INTENSITY_OPERATION,2,4.3
INC-0007-101,P-0007,2026-04-11,ROUTINE_OPERATION,5,6.18
INC-0007-103,P-0007,2026-04-13,ROUTINE_OPERATION,5,6.56
INC-0007-128,P-0007,2026-05-08,HIGH_INTENSITY_OPERATION,2,3.7
INC-0007-156,P-0007,2026-06-05,EXTENDED_OPERATION,5,5.64
INC-0008-056,P-0008,2026-02-25,HIGH_INTENSITY_OPERATION,5,6.16
INC-0008-131,P-0008,2026-05-11,HIGH_INTENSITY_OPERATION,3,4.97
INC-0008-137,P-0008,2026-05-17,EXTENDED_OPERATION,5,7.07
INC-0008-140,P-0008,2026-05-20,HIGH_INTENSITY_OPERATION,5,6.19
INC-0009-016,P-0009,2026-01-16,EXTENDED_OPERATION,4,5.53
INC-0009-017,P-0009,2026-01-17,EMERGENCY_RESPONSE,2,3.06
INC-0009-124,P-0009,2026-05-04,EMERGENCY_RESPONSE,2,3.39
INC-0009-152,P-0009,2026-06-01,EMERGENCY_RESPONSE,3,4.46
INC-0009-173,P-0009,2026-06-22,ROUTINE_OPERATION,3,5.32
INC-0010-001,P-0010,2026-01-01,HIGH_INTENSITY_OPERATION,3,4.38
INC-0010-016,P-0010,2026-01-16,ROUTINE_OPERATION,4,5.78
INC-0010-020,P-0010,2026-01-20,EMERGENCY_RESPONSE,5,5.99
INC-0010-051,P-0010,2026-02-20,HIGH_INTENSITY_OPERATION,4,5.92
INC-0010-053,P-0010,2026-02-22,HIGH_INTENSITY_OPERATION,5,5.09
INC-0010-068,P-0010,2026-03-09,EXTENDED_OPERATION,4,5.9
INC-0010-071,P-0010,2026-03-12,HIGH_INTENSITY_OPERATION,4,6.36
INC-0010-074,P-0010,2026-03-15,HIGH_INTENSITY_OPERATION,4,4.95
INC-0010-100,P-0010,2026-04-10,EXTENDED_OPERATION,4,4.72
INC-0010-103,P-0010,2026-04-13,ROUTINE_OPERATION,5,5.28
INC-0010-104,P-0010,2026-04-14,ROUTINE_OPERATION,5,5.89
INC-0010-117,P-0010,2026-04-27,ROUTINE_OPERATION,3,3.05
INC-0010-138,P-0010,2026-05-18,HIGH_INTENSITY_OPERATION,4,5.02
INC-0010-164,P-0010,2026-06-13,EMERGENCY_RESPONSE,4,3.65
INC-0010-172,P-0010,2026-06-21,HIGH_INTENSITY_OPERATION,5,6.11
INC-0010-180,P-0010,2026-06-29,HIGH_INTENSITY_OPERATION,5,6.79
INC-0011-005,P-0011,2026-01-05,EMERGENCY_RESPONSE,4,5.52
INC-0011-022,P-0011,2026-01-22,EXTENDED_OPERATION,3,4.53
INC-0011-024,P-0011,2026-01-24,EXTENDED_OPERATION,5,5.28
INC-0011-035,P-0011,2026-02-04,ROUTINE_OPERATION,4,5.34
INC-0011-056,P-0011,2026-02-25,EMERGENCY_RESPONSE,3,3.49
INC-0011-057,P-0011,2026-02-26,EMERGENCY_RESPONSE,5,6.93
INC-0011-095,P-0011,2026-04-05,HIGH_INTENSITY_OPERATION,4,4.79
INC-0011-106,P-0011,2026-04-16,ROUTINE_OPERATION,5,6.0
INC-0011-114,P-0011,2026-04-24,HIGH_INTENSITY_OPERATION,5,5.78
INC-0011-123,P-0011,2026-05-03,HIGH_INTENSITY_OPERATION,5,6.22
INC-0011-124,P-0011,2026-05-04,EMERGENCY_RESPONSE,5,6.86
INC-0011-137,P-0011,2026-05-17,EXTENDED_OPERATION,4,3.78
INC-0011-143,P-0011,2026-05-23,EXTENDED_OPERATION,4,5.4
INC-0011-148,P-0011,2026-05-28,HIGH_INTENSITY_OPERATION,5,6.25
INC-0011-165,P-0011,2026-06-14,EMERGENCY_RESPONSE,3,3.38
INC-0011-170,P-0011,2026-06-19,EXTENDED_OPERATION,4,6.11
INC-0012-001,P-0012,2026-01-01,EXTENDED_OPERATION,5,5.84
INC-0012-024,P-0012,2026-01-24,EMERGENCY_RESPONSE,5,6.88
INC-0012-059,P-0012,2026-02-28,EMERGENCY_RESPONSE,4,5.05
INC-0012-064,P-0012,2026-03-05,HIGH_INTENSITY_OPERATION,4,5.73
INC-0012-078,P-0012,2026-03-19,EMERGENCY_RESPONSE,4,5.64
INC-0013-027,P-0013,2026-01-27,HIGH_INTENSITY_OPERATION,3,4.38
INC-0013-089,P-0013,2026-03-30,EMERGENCY_RESPONSE,4,5.13
INC-0013-112,P-0013,2026-04-22,ROUTINE_OPERATION,5,6.52
INC-0013-140,P-0013,2026-05-20,ROUTINE_OPERATION,3,4.07
INC-0013-144,P-0013,2026-05-24,HIGH_INTENSITY_OPERATION,4,4.65
INC-0013-155,P-0013,2026-06-04,EMERGENCY_RESPONSE,5,7.49
INC-0013-168,P-0013,2026-06-17,EMERGENCY_RESPONSE,4,5.51
INC-0014-002,P-0014,2026-01-02,EXTENDED_OPERATION,5,6.17
INC-0014-004,P-0014,2026-01-04,HIGH_INTENSITY_OPERATION,4,5.01
INC-0014-023,P-0014,2026-01-23,EMERGENCY_RESPONSE,5,6.24
INC-0014-033,P-0014,2026-02-02,EMERGENCY_RESPONSE,4,4.2
INC-0014-044,P-0014,2026-02-13,HIGH_INTENSITY_OPERATION,4,4.57
INC-0014-060,P-0014,2026-03-01,EXTENDED_OPERATION,5,6.11
INC-0014-071,P-0014,2026-03-12,EXTENDED_OPERATION,5,5.07
INC-0014-072,P-0014,2026-03-13,HIGH_INTENSITY_OPERATION,5,5.72
INC-0014-075,P-0014,2026-03-16,HIGH_INTENSITY_OPERATION,4,4.87
INC-0014-083,P-0014,2026-03-24,EXTENDED_OPERATION,4,5.73
INC-0014-095,P-0014,2026-04-05,HIGH_INTENSITY_OPERATION,4,5.48
INC-0014-099,P-0014,2026-04-09,EMERGENCY_RESPONSE,3,3.85
INC-0014-103,P-0014,2026-04-13,EMERGENCY_RESPONSE,5,6.36
INC-0014-105,P-0014,2026-04-15,EMERGENCY_RESPONSE,5,5.68
INC-0014-108,P-0014,2026-04-18,HIGH_INTENSITY_OPERATION,3,5.17
INC-0014-121,P-0014,2026-05-01,ROUTINE_OPERATION,4,4.89
INC-0014-124,P-0014,2026-05-04,ROUTINE_OPERATION,4,3.89
INC-0014-136,P-0014,2026-05-16,ROUTINE_OPERATION,1,2.91
INC-0014-140,P-0014,2026-05-20,EXTENDED_OPERATION,3,2.96
INC-0014-159,P-0014,2026-06-08,EMERGENCY_RESPONSE,5,6.11
INC-0014-171,P-0014,2026-06-20,EMERGENCY_RESPONSE,4,5.64
INC-0014-178,P-0014,2026-06-27,ROUTINE_OPERATION,5,6.74
INC-0015-013,P-0015,2026-01-13,EMERGENCY_RESPONSE,5,6.07
INC-0015-026,P-0015,2026-01-26,HIGH_INTENSITY_OPERATION,4,5.23
INC-0015-033,P-0015,2026-02-02,ROUTINE_OPERATION,5,6.02
INC-0015-040,P-0015,2026-02-09,EMERGENCY_RESPONSE,4,5.78
INC-0015-045,P-0015,2026-02-14,EMERGENCY_RESPONSE,5,5.65
INC-0015-054,P-0015,2026-02-23,HIGH_INTENSITY_OPERATION,5,5.51
INC-0015-082,P-0015,2026-03-23,HIGH_INTENSITY_OPERATION,4,5.91
INC-0015-110,P-0015,2026-04-20,ROUTINE_OPERATION,4,5.73
INC-0015-119,P-0015,2026-04-29,EXTENDED_OPERATION,4,5.27
INC-0015-160,P-0015,2026-06-09,EXTENDED_OPERATION,4,5.31
INC-0015-164,P-0015,2026-06-13,HIGH_INTENSITY_OPERATION,2,3.18
INC-0016-016,P-0016,2026-01-16,ROUTINE_OPERATION,4,4.5
INC-0016-032,P-0016,2026-02-01,HIGH_INTENSITY_OPERATION,4,5.13
INC-0016-034,P-0016,2026-02-03,ROUTINE_OPERATION,5,5.57
INC-0016-056,P-0016,2026-02-25,HIGH_INTENSITY_OPERATION,5,6.62
INC-0016-057,P-0016,2026-02-26,EMERGENCY_RESPONSE,4,5.57
INC-0016-076,P-0016,2026-03-17,ROUTINE_OPERATION,5,6.4
INC-0016-084,P-0016,2026-03-25,EMERGENCY_RESPONSE,5,5.58
INC-0016-116,P-0016,2026-04-26,EMERGENCY_RESPONSE,5,5.91
INC-0016-130,P-0016,2026-05-10,HIGH_INTENSITY_OPERATION,5,5.57
INC-0016-131,P-0016,2026-05-11,HIGH_INTENSITY_OPERATION,5,5.33
INC-0016-142,P-0016,2026-05-22,ROUTINE_OPERATION,4,5.46
INC-0016-148,P-0016,2026-05-28,HIGH_INTENSITY_OPERATION,5,5.94
INC-0016-172,P-0016,2026-06-21,EXTENDED_OPERATION,5,6.2
INC-0017-017,P-0017,2026-01-17,HIGH_INTENSITY_OPERATION,1,2.58
INC-0017-038,P-0017,2026-02-07,HIGH_INTENSITY_OPERATION,4,5.66
INC-0017-051,P-0017,2026-02-20,ROUTINE_OPERATION,2,3.61
INC-0017-061,P-0017,2026-03-02,ROUTINE_OPERATION,5,5.28
INC-0017-088,P-0017,2026-03-29,EMERGENCY_RESPONSE,5,5.36
INC-0017-089,P-0017,2026-03-30,EMERGENCY_RESPONSE,5,6.95
INC-0017-093,P-0017,2026-04-03,ROUTINE_OPERATION,1,3.0
INC-0017-099,P-0017,2026-04-09,ROUTINE_OPERATION,5,6.73
INC-0017-117,P-0017,2026-04-27,ROUTINE_OPERATION,4,4.62
INC-0017-119,P-0017,2026-04-29,ROUTINE_OPERATION,2,3.8
INC-0017-123,P-0017,2026-05-03,ROUTINE_OPERATION,1,3.2
INC-0017-166,P-0017,2026-06-15,EXTENDED_OPERATION,5,6.02
INC-0017-168,P-0017,2026-06-17,ROUTINE_OPERATION,5,6.1
INC-0017-172,P-0017,2026-06-21,ROUTINE_OPERATION,4,3.76
INC-0017-179,P-0017,2026-06-28,ROUTINE_OPERATION,5,5.77
INC-0018-020,P-0018,2026-01-20,EMERGENCY_RESPONSE,4,6.33
INC-0018-021,P-0018,2026-01-21,ROUTINE_OPERATION,3,4.15
INC-0018-031,P-0018,2026-01-31,ROUTINE_OPERATION,5,5.22
INC-0018-040,P-0018,2026-02-09,HIGH_INTENSITY_OPERATION,5,4.41
INC-0018-108,P-0018,2026-04-18,ROUTINE_OPERATION,3,4.99
INC-0018-150,P-0018,2026-05-30,HIGH_INTENSITY_OPERATION,4,5.43
INC-0019-026,P-0019,2026-01-26,EXTENDED_OPERATION,5,6.59
INC-0019-030,P-0019,2026-01-30,HIGH_INTENSITY_OPERATION,5,6.96
INC-0019-043,P-0019,2026-02-12,EXTENDED_OPERATION,4,4.88
INC-0019-064,P-0019,2026-03-05,ROUTINE_OPERATION,4,3.34
INC-0019-134,P-0019,2026-05-14,EMERGENCY_RESPONSE,3,3.76
INC-0019-180,P-0019,2026-06-29,ROUTINE_OPERATION,3,4.14
INC-0020-024,P-0020,2026-01-24,HIGH_INTENSITY_OPERATION,3,3.11
INC-0020-122,P-0020,2026-05-02,EMERGENCY_RESPONSE,3,3.86
INC-0020-157,P-0020,2026-06-06,HIGH_INTENSITY_OPERATION,5,5.61
INC-0021-022,P-0021,2026-01-22,EMERGENCY_RESPONSE,5,5.73
INC-0021-113,P-0021,2026-04-23,ROUTINE_OPERATION,4,6.55
